"Battery","Asset Name","Asset ID","Asset Type","Asset Group","Product Code","Trip State","Dwell Time (Days)","GPS Time","Last Event","Location Name","Location Arrival Time","Locations Inside (All)","Address","City","State","Zip Code","Regions","Zones","Lat/Long","Asset VIN","Asset Tags","Make","IMEI ID","Install Status","Install Date","Installer","Total Mileage","External Voltage 1","Battery Voltage","Sensors","Unhealthy Sensors","Sensor Issues","Detention State","Drive State"
"<img width=32 src=""/assets/icons/battery/battery-full-light-green.png"">","7323975","7323975","Trailer","Borderlanders Inc.","TrailerNet (77-6700)","Parked","0.8","01/10/2023 06:24 AM","Location Update","","","","Applegate Drive","Robbinsville Township","NJ","08691","","","40.20181, -74.57772","3H3V532C3HT276075","","Hyundai translead trailers","015115004902382","Installed","05/05/2022","Tom Habina","57042.0","0.0","4.2","","","","",""
"<img width=32 src=""/assets/icons/battery/battery-full-light-green.png"">","7328491","7328491","Trailer","Borderlanders Inc.","TrailerNet (77-6700)","Parked","1.5","01/10/2023 06:20 AM","Heartbeat","","","","Abbott Lane","Valley Ridge","TX","76140","","","32.61940, -97.26492","3H3V532K4PS074129","","","015115006361744","Installed","","","9780.4","0.0","4.2","","","","",""
"<img width=32 src=""/assets/icons/battery/battery-full-light-green.png"">","7328524","7328524","Trailer","Borderlanders Inc.","TrailerNet (77-6700)","Parked","3.2","01/10/2023 05:54 AM","Location Update","","","","1544 Old Greensboro Road","Colfax","NC","27235","SE Region","","36.10744, -80.03809","3H3V532K2PS074162","","","015115006653645","Installed","","","12827.1","0.5","4.2","","","","",""
"<img width=32 src=""/assets/icons/battery/battery-full-light-green.png"">","7328396","7328396","Trailer","Borderlanders Inc.","TrailerNet (77-6700)","Parked","0","01/10/2023 05:48 AM","Location Update","","","","3240 Point Mallard Parkway Southeast","Priceville","AL","35603","SE Region","","34.53848, -86.91087","3H3V532K4PS074034","","","015115006634611","Installed","","","46518.3","0.0","4.2","","","","",""
"<img width=32 src=""/assets/icons/battery/battery-full-light-green.png"">","7328495","7328495","Trailer","Borderlanders Inc.","TrailerNet (77-6700)","Parked","2.5","01/10/2023 05:35 AM","Heartbeat","","","","Watts Road Northwest","Atlanta","GA","30318","","","33.78883, -84.48768","3H3V532K6PS074133","","","015115006662901","Installed","","","15768.0","0.0","4.2","","","","",""
"<img width=32 src=""/assets/icons/battery/battery-full-light-green.png"">","7328490","7328490","Trailer","Borderlanders Inc.","TrailerNet (77-6700)","Parked","1.5","01/10/2023 05:24 AM","Heartbeat","","","","I 295","Oldmans Township","NJ","08067","","","39.73820, -75.39876","3H3V532K2PS074128","","","015115006705676","Installed","","","15535.0","0.0","4.2","","","","",""
"<img width=32 src=""/assets/icons/battery/battery-full-light-green.png"">","7328520","7328520","Trailer","Borderlanders Inc.","TrailerNet (77-6700)","Parked","3.2","01/10/2023 05:20 AM","Location Update","","","","6589 Northeast 64th Street","Bondurant","IA","50009","","","41.68285, -93.48306","3H3V532K0PS074158","","","015115004729256","Installed","","","22098.3","0.1","4.2","","","","",""
"<img width=32 src=""/assets/icons/battery/battery-full-light-green.png"">","7328521","7328521","Trailer","Borderlanders Inc.","TrailerNet (77-6700)","Parked","4.5","01/10/2023 05:14 AM","Location Update","","","","Jones Sausage Road","Garner","NC","27529","SE Region","","35.71809, -78.58798","3H3V532K2PS074159","","","015115004737655","Installed","","","11591.7","0.0","4.2","","","","",""
"<img width=32 src=""/assets/icons/battery/battery-full-light-green.png"">","7328392","7328392","Trailer","Borderlanders Inc.","TrailerNet (77-6700)","Parked","10.6","01/10/2023 04:32 AM","Heartbeat","","","","Smith Road","Medina","OH","44256","","","41.13819, -81.90549","3H3V532K7PS074030","","","015115004583109","Installed","","","42668.2","0.0","4.2","","","","",""
"<img width=32 src=""/assets/icons/battery/battery-full-light-green.png"">","7328525","7328525","Trailer","Borderlanders Inc.","TrailerNet (77-6700)","Parked","10","01/10/2023 04:12 AM","Location Update","","","","3901 Adler Drive","Dallas","TX","75212","","","32.76680, -96.88555","3H3V532K4PS074163","","","015115004731658","Installed","","","14122.8","0.0","4.1","","","","",""
"<img width=32 src=""/assets/icons/battery/battery-full-light-green.png"">","7328493","7328493","Trailer","Borderlanders Inc.","TrailerNet (77-6700)","Parked","1.1","01/10/2023 03:52 AM","Heartbeat","","","","Arena Road","East Rutherford","NJ","07094","","","40.81263, -74.06456","3H3V532K2PS074131","","","015115006643125","Installed","","","14195.3","0.0","4.2","","","","",""
"<img width=32 src=""/assets/icons/battery/battery-full-light-green.png"">","7328400","7328400","Trailer","Borderlanders Inc.","TrailerNet (77-6700)","Parked","1.6","01/10/2023 03:36 AM","Heartbeat","","","","Read Street","Good Meadow","CA","92570","","","33.74290, -117.28940","3H3V532K1PS074038","","","015115004739297","Installed","","","39235.7","0.0","4.2","","","","",""
"<img width=32 src=""/assets/icons/battery/battery-full-light-green.png"">","7328499","7328499","Trailer","Borderlanders Inc.","TrailerNet (77-6700)","Parked","2.5","01/10/2023 03:28 AM","Heartbeat","","","","","Aurora","CO","80011-3316","","","39.74809, -104.77604","3H3V532K3PS074137","","","015115006636103","Installed","","","22457.7","0.0","4.2","","","","",""
"<img width=32 src=""/assets/icons/battery/battery-full-light-green.png"">","7328388","7328388","Trailer","Borderlanders Inc.","TrailerNet (77-6700)","Parked","2.4","01/10/2023 03:17 AM","Location Update","","","","44051 Osgood Road","Fremont","CA","94539","","","37.50888, -121.94125","3H3V532K5PS074026","","","015115004700729","Installed","","","35480.5","0.0","4.2","","","","",""
"<img width=32 src=""/assets/icons/battery/battery-full-light-green.png"">","7328399","7328399","Trailer","Borderlanders Inc.","TrailerNet (77-6700)","Parked","37.5","01/10/2023 02:40 AM","Heartbeat","","","","Clifton Street","Sparta","WI","54656","","","43.93661, -90.80564","3H3V532KXPS074037","","","015115006642333","Installed","","","39418.3","0.0","4.1","","","","",""
"<img width=32 src=""/assets/icons/battery/battery-full-light-green.png"">","7324287","7324287","Trailer","Borderlanders Inc.","TrailerNet (77-6700)","Parked","1.6","01/10/2023 01:57 AM","Heartbeat","","","","44051 Osgood Road","Fremont","CA","94539","","","37.50888, -121.94075","3H3V532C4HT276487","","Hyundai translead trailers","015115004636881","Installed","04/22/2022","Dan Josher","62675.6","0.0","4.2","","","","",""
"<img width=32 src=""/assets/icons/battery/battery-full-light-green.png"">","7328492","7328492","Trailer","Borderlanders Inc.","TrailerNet (77-6700)","Parked","0.3","01/10/2023 01:30 AM","Location Update","","","","Abbott Lane","Valley Ridge","TX","76140","","","32.61840, -97.26433","3H3V532K0PS074130","","","015115004722871","Installed","","","19809.7","0.0","4.2","","","","",""
"<img width=32 src=""/assets/icons/battery/battery-full-light-green.png"">","7328486","7328486","Trailer","Borderlanders Inc.","TrailerNet (77-6700)","Parked","2.2","01/10/2023 01:08 AM","Heartbeat","","","","Read Street","Good Meadow","CA","92570","","","33.74336, -117.28909","3H3V532K5PS074124","","","015115004903919","Installed","","","17558.4","0.0","4.2","","","","",""
"<img width=32 src=""/assets/icons/battery/battery-full-light-green.png"">","7328401","7328401","Trailer","Borderlanders Inc.","TrailerNet (77-6700)","Parked","1.7","01/10/2023 12:47 AM","Heartbeat","","","","East Raymond Street","Indianapolis","IN","46203","","","39.73650, -86.09860","3H3V532K3PS074039","","","015115004727557","Installed","","","46842.5","0.0","4.1","","","","",""
"<img width=32 src=""/assets/icons/battery/battery-full-light-green.png"">","7328500","7328500","Trailer","Borderlanders Inc.","TrailerNet (77-6700)","Parked","24.4","01/10/2023 12:35 AM","Location Update","","","","Gap Boulevard","Gallatin","TN","37066","","","36.37216, -86.49133","3H3V532K5PS074138","","","015115006703762","Installed","","","16341.7","0.0","4.1","","","","",""
"<img width=32 src=""/assets/icons/battery/battery-charging-blue.png"">","7328391","7328391","Trailer","Borderlanders Inc.","TrailerNet (77-6700)","Parked","0.3","01/10/2023 12:32 AM","Location Update","","","","","","UT","","","","37.60199, -113.16066","3H3V532K0PS074029","","","015115006651789","Installed","","","52232.4","14.1","4.2","","","","",""
"<img width=32 src=""/assets/icons/battery/battery-full-light-green.png"">","7328523","7328523","Trailer","Borderlanders Inc.","TrailerNet (77-6700)","Parked","3.6","01/10/2023 12:11 AM","Location Update","","","","Dallas Street","Commerce City","CO","80640","","","39.87771, -104.87823","3H3V532K0PS074161","","","015115004731849","Installed","","","13160.1","0.0","4.1","","","","",""
"<img width=32 src=""/assets/icons/battery/battery-charging-blue.png"">","7328389","7328389","Trailer","Borderlanders Inc.","TrailerNet (77-6700)","Parked","28.7","01/09/2023 11:34 PM","Location Update","","","","5417 Northeast Courier Court","Portland","OR","97218","","","45.58240, -122.60796","3H3V532K7PS074027","","","015115004732359","Installed","","","19133.1","14.1","4.1","","","","",""
"<img width=32 src=""/assets/icons/battery/battery-full-light-green.png"">","7328402","7328402","Trailer","Borderlanders Inc.","TrailerNet (77-6700)","Parked","0.4","01/09/2023 11:15 PM","Gateway Update - Power Disconnect","","","","46165 Dillon Road","Coachella","CA","92236","","","33.71279, -116.17707","3H3V532KXPS074040","","","015115004712880","Installed","","","36352.3","0.1","4.2","","","","",""
"<img width=32 src=""/assets/icons/battery/battery-full-light-green.png"">","7328487","7328487","Trailer","Borderlanders Inc.","TrailerNet (77-6700)","Parked","0.8","01/09/2023 11:10 PM","Heartbeat","","","","10564 89th Avenue North","Maple Grove","MN","55369","","","45.11706, -93.41636","3H3V532K7PS074125","","","015115006666886","Installed","","","11028.7","0.0","4.2","","","","",""
"<img width=32 src=""/assets/icons/battery/battery-full-light-green.png"">","7328393","7328393","Trailer","Borderlanders Inc.","TrailerNet (77-6700)","Parked","3.2","01/09/2023 10:22 PM","Heartbeat","","","","2575 Kyle Crossing","Kyle","TX","78640","","","30.02634, -97.85745","3H3V532K9PS074031","","","015115004898143","Installed","","","52704.6","0.0","4.2","","","","",""
"<img width=32 src=""/assets/icons/battery/battery-full-light-green.png"">","7328488","7328488","Trailer","Borderlanders Inc.","TrailerNet (77-6700)","Parked","1.4","01/09/2023 09:04 PM","Location Update","","","","Abbott Lane","Valley Ridge","TX","76140","","","32.61930, -97.26486","3H3V532K9PS074126","","","015115004583000","Installed","","","17087.8","0.0","4.2","","","","",""
"<img width=32 src=""/assets/icons/battery/battery-full-light-green.png"">","7328519","7328519","Trailer","Borderlanders Inc.","TrailerNet (77-6700)","Parked","6.6","01/09/2023 08:57 PM","Heartbeat","","","","Farm Road 160","Republic","MO","65738","","","37.16507, -93.42996","3H3V532K9PS074157","","","015115006705213","Installed","","","18488.7","0.0","4.1","","","","",""
"<img width=32 src=""/assets/icons/battery/battery-charging-blue.png"">","7328496","7328496","Trailer","Borderlanders Inc.","TrailerNet (77-6700)","On Trip","","12/16/2022 04:07 PM","Location Update","","","","I 40","Gallaway","TN","38036","","","35.30476, -89.59210","3H3V532K8PS074134","","","015115006629553","Installed","","","2473.1","13.9","4.2","","","","",""
